ID,aplikace,portable,platform,firma,web,popis,verze,kategorie,licence,testfield,aktualizovat
1,FastStone Capture,1,win,,http://www.faststone.com,Snímání obrazovky,5.3,5,0,1,0
2,Stellarium,0,uni,,http://www.stellarium.com,Mapa oblohy a hvězd,0.10.6.1,4,0,2,0
3,BurnAware,0,win,,http://www.burnaware.com,burner,3.05,5,11,3,0
4,Foobar2000,0,uni,,http://www.foobar.com,music player,1.1,2,0,4,0
5,Media Revolution,0,win,,,multimedia player,,2,1,5,0
6,Virtual Clone Drive,0,win,RedFox,https://www.redfox.bz/en/virtual-clonedrive.html,virtual image mount,5.4.4.0,5,0,6,1
7,WinDirStat,0,win,,https://windirstat.net/,Free Space,1.1.2.80,4,0,7,0
8,Epanet,0,win,,https://www.epa.gov/water-research/epanet,GIS hydraulic,2.2,4,0,8,0
9,Universal document converter,0,win,,,Converter,,1,1,9,0
10,Unlocker,0,win,,,Odemykání a mazání zmačených souborů,1.8.7,5,0,10,0
11,PSPad,0,win,,http://www.pspad.com/cz/download.php,text editor,4.5.3,1,0,11,0
12,Autoruns,1,win,,http://www.sysinternals.com/,Kontrola spuštěných služeb a aplikací,8.53,4,01,12,0
13,Výběr Barev,1,win,,,,1,2,0,13,0
14,Cryptload,0,win,,http://www.cryptload.info/,,1.1.8,5,0,14,0
15,Dependency Walker,1,win,,http://dependencywalker.com/,Analyze windows libraries,2.2.6000,4,0,15,0
16,DocReader,1,win,,,text reader,0.69,1,0,16,0
17,Google Books Download,0,win,,,,3.0.1.309,,0,17,0
18,BT747,0,uni,,https://www.bt747.org/webinstall,GIS logs,,3,0,18,0
19,Inkscape,1,uni,,https://inkscape.org/en/,image editor,0.48,2,01,19,0
20,DOSBox,1,uni,,http://www.dosbox.com/,Emulator MS-DOS ,,,01,20,0
21,Precizní Kalkulačka,0,win,,,Calculator,1.3,4,0,21,0
22,Shape Viewer,0,win,,http://shapeviewer.blogspot.com/,GIS,1.20,3,0,22,0
23,uTorrent,0,win,,https://www.utorrent.com/,download manager,1.8.1,5,0,23,0
24,ViCalc,1,win,,,Calculator,3.17,4,0,24,0
25,PDF Tools,1,win,,,upravování pdf souborů,4.0,1,0,25,0
26,Process Explorer,0,win,,http://technet.microsoft.com/en-us/sysinternals/bb896653,správce procesů,15.04,,0,26,0
27,System information Viewer,0,win,,http://rh-software.com/,kompletní informace o systému a konfiguraci,4.22,,0,27,0
28,SUPER,0,win,,http://www.erightsoft.com/SUPER.html,multimedia convertor,v2011,2,0,28,0
29,Totall Commander,0,win,,http://www.ghisler.com/,souborový manažer,7,,0,29,0
30,PC Translator,0,win,,http://www.teos.sk/translat.htm,,2012,,1,30,0
31,CD Burner XP,0,win,,https://www.cdburnerxp.se/,image burner,,5,0,31,0
32,Irfan View,0,win,,https://www.irfanview.com/64bit.htm,image viewer,,2,0,32,1
33,WinRAR,1,win,,http://www.rarlab.com/,archivace,,,0,33,0
34,Microsoft Sharepoint Designer,0,win,,,Website IDE,,,0,34,0
35,Album shaper,0,win,,http://albumshaper.sourceforge.net/,web album creator,,2,01,35,0
36,Format Factory,0,win,,http://www.pcfreetime.com/formatfactory/index.php?language=en,multimedia converter,2.15,2,0,36,0
37,UltraISO,,win,,,virtual images,,,,,0
38,Daemon Tools,,win,,https://www.daemon-tools.cc/home,virtual images,,,,,0
39,Nero Burning ROM,,win,,,virtual images,,,,,0
40,Free Commander,,win,,http://freecommander.com/en/summary/,,,,,,0
41,Firefox,,uni,Mozzilla,https://www.mozilla.org/en-US/firefox/new/,web browser,,,,,0
42,ThunderBird,,uni,Mozzilla,,email client,,,,,0
43,Chemsketch,,win,,http://www.acdlabs.com/products/draw_nom/draw/chemsketch/,chemistry,,4,,,0
44,ArtRange,,win,,https://www.artrage.com/,image ditor,,2,10,,0
45,Icon Converter,,win,,,,,2,,,0
46,BSplayer,,win,,http://www.bsplayer.com/,video player,,2,,,0
47,Platform IDE,,lnx,,http://platformio.org/,aka Atom,,,,,0
48,Cubase,,win,,https://www.steinberg.net/en/products/cubase/start.html,music editor,9,2,,,0
49,TreeSize,,win,,http://www.jam-software.com/treesize_free/,,,,,,0
50,Super,,win,,http://www.erightsoft.com/SUPER.html,multimedia converter,,2,,,0
51,Zoom Player,,win,,http://www.inmatrix.com/files/zoomplayer_download.shtml,video player,,2,,,0
52,Total Video Converter,,win,,http://www.effectmatrix.com/total-video-converter/,multimedia converter,,2,,,0
53,Pinnacle Studio,,win,,http://www.pinnaclesys.com/,video editor,,2,,,0
54,Tune Up Utilities,,win,#http://www.avg.com/us-en/tuneup-utilities#,http://www.avg.com/us-en/tuneup-utilities,,,,,,0
55,Exact Audio Copy,,win,,http://exactaudiocopy.de/,music grabber,,2,,,0
56,ABVYY Fine Reader,,win,,https://www.abbyy.com/en-ee/finereader/,OCR,,2,10,,0
57,KoolMoves,,win,,http://koolmoves.com/,HTML animator,,2,,,0
58,Audition,,win,Adobe,https://www.adobe.com/products/audition.html,audio editor,,2,01,,0
59,ArcGIS,,win,,https://www.arcgis.com/features/index.html,GIS,,3,10,,0
60,QGIS,,uni,,http://qgis.org/en/site/,GIS,,3,,,0
61,PuTTY,,win,,http://www.putty.org/,,,,01,,0
62,CCleaner,,win,,https://www.piriform.com/CCLEANER,,,5,,,0
63,Double Commander,,uni,,http://doublecmd.sourceforge.net/,,,,,,0
64,Libre Office,,uni,,https://www.libreoffice.org/,,,1,,,0
65,VLC Media Player,,uni,,http://www.videolan.org/vlc/,multimedia player,,2,,,0
66,Rainlendar,,win,,http://www.rainlendar.net/cms/index.php,,,,,,0
67,R,,uni,,https://www.r-project.org/,programming,,,,,0
68,Python,,uni,,https://www.python.org/downloads/,programming language,,5,,,1
69,LyX,,uni,,http://www.lyx.org/,Document Proccessor,,1,,,0
70,Notepad++,,win,,https://notepad-plus-plus.org/,text editor,,1,,,1
71,NitroPDF,,win,,https://www.gonitro.com/features,pdf editor,,1,,,0
72,Google Earth,1,win,,https://www.google.com/earth/,GIS globus,,3,11,,0
73,GenoPro,,win,,http://www.genopro.com/,,,,,,0
74,SpyBot,,win,,https://www.safer-networking.org/,,,,,,0
75,WinHex,,win,,http://www.winhex.com/winhex/,hex editor advanced,,1,,,0
76,XML Marker,,win,,http://symbolclick.com/,,,1,,,0
77,Total Validator,,win,,https://www.totalvalidator.com/,,,,,,0
78,Calibre,,uni,,http://calibre-ebook.com/,ebook reader,,1,,,0
79,CADE,,win,,https://cade.informer.com/download/,vector editor,,3,,,0
80,DIVA-GIS,,win,,https://www.diva-gis.org/download,GIS,,3,,,0
81,DNRGPS,,win,,http://www.dnr.state.mn.us/mis/gis/DNRGPS/DNRGPS.html,DNR Garmin,,3,,,0
82,DWG,,win,,http://www.autodesk.com/products/dwg/viewers,,,,,,0
83,Acrobat,,win,Adobe,https://acrobat.adobe.com/us/en/acrobat/pdf-reader.html,pdf editor,,1,11,,0
84,Opera,,win,,http://www.opera.com/,web browser,,,01,,0
85,MapWindow GIS,,win,,http://www.mapwindow.org/,GIS,,3,,,0
86,GS View,,win,,http://www.gsview.com/,,,,,,0
87,MuPDF,,uni,,http://mupdf.com/,pdf viewer,,1,,,0
88,GPS Map Edit,,win,,http://www.geopainting.com/,,,3,,,0
89,Open Contacts,,win,,http://www.fonlow.com/opencontacts/,,,,,,0
90,Sicyon calculator,,win,,http://www.sicyon.com/,,,,,,0
91,GRASS GIS,,uni,,http://grass.osgeo.org/,GIS,,3,,,0
92,Fiddler,,win,Telerik,http://www.telerik.com/fiddler,,4,4,,,0
93,Memory cleaner,,win,,http://www.koshyjohn.com/software/memclean/,,,5,,,0
94,Foxit,,win,,https://www.foxitsoftware.com/products/pdf-reader/,,,1,,,0
95,Utility,,win,Keir,http://www.keir.net/software.html,,,,,,0
96,Utility,,win,Nirsoft,http://www.nirsoft.net/utils/index.html,,,,,,0
97,WinOptimizer,,win,Ashampoo,https://www.ashampoo.com/en/usd,,,,,,0
98,7-Zip,1,uni,,http://www.7-zip.org/,archiive manager,,5,,,1
99,FAR Manager,,uni,,http://api.farmanager.com/,,,,,,0
100,TOR Project,,uni,,https://www.torproject.org/,,,,,,0
101,HydroDesktop,,win,,https://hydrodesktop.codeplex.com/,hydraulic software,,4,,,0
102,Audacity,,lnx,,http://www.audacityteam.org/,audio editor,,2,,,0
103,MIKE,,win,DHI,https://www.mikepoweredbydhi.com/products,GIS tools for modelling,,3,,,0
104,AutoCAD,,win,Autodesk,https://www.autodesk.com/products/autocad/overview,CAD,,3,,,0
105,XPlorer,,win,,http://www.zabkat.com/,,,,,,0
106,JPass,,uni,,http://www.kelv.net/programming/jpass.php,password manager,,7,,,1
107,ZEAL,,win,,https://zealdocs.org/,Documentation,,,,,0
108,Virtual Magnyfing Glass,,win,,http://magnifier.sourceforge.net/,magnify,,,,,0
109,Photoshop,,win,Adobe,,image editor,,2,,,0
110,GIMP,,uni,,https://www.gimp.org/,image editor,,2,,,0
111,Magic ASCII Studio,,win,,http://www.xoyosoft.com/mas/,,,1,,,0
112,Office,,win,Microsoft,,,,,,,0
113,Fruity Loops Studio,,win,,http://www.image-line.com/flstudio/,music editor,,2,,,0
114,NetLimiter,,win,,https://netlimiter.com/,,,,,,0
115,Arduino,,uni,,https://www.arduino.cc/,microcontroller programming,,4,,,0
116,CherryTree,1,uni,giuspen,http://www.giuspen.com/cherrytree/,note taking,,1,,,1
117,Gramps,,uni,,https://gramps-project.org/,Rodokmen,,,,,0
118,Wine,0,lnx,,https://www.winehq.org/,Windows emulator,,,,,0
119,Geany,,lnx,,http://www.geany.org/,text editor,,1,,,0
120,PdfMod,,lnx,,https://wiki.gnome.org/Apps/PdfMod,pdf editor,,1,,,0
121,Pyzo,,lnx,,http://www.pyzo.org/iep.html,python IDE,,1,,,0
122,Bleachbit,,lnx,,http://www.bleachbit.org/,System Cleaner,,,,,0
123,Nano,,lnx,,https://www.nano-editor.org/,text editor,,1,,,0
124,Rpmorphan,,lnx,,http://rpmorphan.sourceforge.net/,Clean system,,,,,0
125,Grsync,,lnx,,http://www.opbyte.it/grsync/,synchronizer,,,,,0
126,htop,,lnx,,http://hisham.hm/htop/,terminal monitor,,,,,0
127,Vim,,,,https://vim.sourceforge.io/,text editor,,1,,,0
128,4k Video Downloader,,uni,,https://www.4kdownload.com/downloads,download tool,,5,,,0
129,Dolibarr,,lnx,,https://www.dolibarr.org/,ERP,,,,,0
130,TraGtor,,lnx,,http://mein-neues-blog.de/tragtor-gui-for-ffmpeg/,video editor,,2,,,0
131,OFBIZ,,lnx,Apache,https://ofbiz.apache.org/,ERP,,,,,0
132,Koa11y,,lnx,,https://open-indy.github.io/Koa11y/,Analyze HTML,,4,0,,0
133,Webcamoid,,lnx,,https://webcamoid.github.io/,video manager,,2,,,0
134,inoERP,,lnx,,https://github.com/inoerp/inoERP,ERP,,,,,0
135,MP4Tools,,lnx,,https://sourceforge.net/projects/mp4joiner/,video editor,,2,,,0
136,Zurmo,,lnx,,http://zurmo.org/,CRM (Customer relations),,,,,0
137,WireShark,,uni,,https://www.wireshark.org,network monitor,,4,,,0
138,PyCharm,,uni,JetBrains,https://www.jetbrains.com/pycharm/,python IDE,,1,,,0
139,Visual Studio Code,0,uni,,https://code.visualstudio.com/,IDE,,,,,0
140,Franz,,uni,,https://meetfranz.com/#download,communication,,2,,,0
141,Talend Open Studio,,uni,,https://www.talend.com/download/talend-open-studio,ETL,,8,,,0
142,Dataiku,,uni,,https://www.dataiku.com/,ETL,,8,,,0
143,Pachyderm,,lnx,,https://www.pachyderm.io/,ETL,,8,,,0
144,Bigdata file viewer,,uni,,https://github.com/Eugene-Mark/bigdata-file-viewer/releases,database client,,8,,,0
145,Execute query,,lnx,,http://executequery.org/index.php,database client,,8,,,0
146,netdata,,lnx,,https://my-netdata.io/,Analyze infrastructure,,4,0,,0
147,Pi MusicBox,,lnx,,http://www.pimusicbox.com/,music streamer,,2,,,0
148,PDF Creator,,win,,http://www.pdfforge.org/pdfcreator,pdf editor,,1,,,0
149,Postman,,uni,,https://www.getpostman.com/,API developer,,,,,0
150,JDownloader,,uni,,http://jdownloader.org/,download tool,,5,,,0
151,TAD,,uni,,http://tadviewer.com/,CSV editor,,1,,,0
152,NetBeans,,uni,,https://netbeans.org/,IDE,,1,,,0
153,SQL Power Architect,,win,,http://software.sqlpower.ca/page/architect,ER Tool,,8,,,0
154,nnn,,lnx,,https://github.com/jarun/nnn,terminal manager,,,,,0
155,SiriKali,,lnx,,https://mhogomchungu.github.io/sirikali/,manager encrypted folder,,,,,0
156,Dianara,,lnx,,https://jancoding.wordpress.com/dianara/,social network decentralized,,,,,0
157,Cantata,,uni,,https://github.com/CDrummond/cantata/,media player,,2,,,0
158,FlatSiteBuilder,,uni,,https://github.com/Artanidos/FlatSiteBuilder,CMS,,,,,0
159,Netlify,,uni,,https://www.netlifycms.org/,CMS,,,,,0
160,Node-RED,,uni,,https://nodered.org/,programming tool,,,,,0
161,Subrion,,uni,,https://subrion.org/,CMS,,,,,0
162,Tagstoo,,lnx,,https://github.com/Pabloandumundu/Tagstoo,manager folder,,,,,0
163,QMapShack,,lnx,,https://bitbucket.org/maproom/qmapshack/wiki/Home,GIS,,3,,,0
164,Shallot,,uni,,https://pseudopolis.eu/wiki/pino/projs/shallot/index.html,manager files,,,,,0
165,Kalliope,,uni,,https://github.com/kalliope-project/kalliope,voice assistent,,2,,,0
166,CLEX,,lnx,,http://www.clex.sk/,terminal manager,,,,,0
167,GrabMyBooks,,and,,http://grabmybooks.com/,content grabber,,,,,0
168,Kismon,,lnx,,https://www.salecker.org/software/kismon.html,network monitor,,4,,,0
169,Ciano,,lnx,,https://robertsanseries.github.io/ciano/index.html,music convertor,,2,,,0
170,fzy,,lnx,,https://github.com/jhawthorn/fzy,terminal manager,,,,,0
171,BORG Calendar,,uni,,https://github.com/mikeberger/borg_calendar/releases,calendar,,,,,0
172,Fastoredis,,lnx,,http://fastoredis.com/,database client,,8,,,0
173,TrackYourTime,,uni,,https://github.com/Allexin/TrackYourTime,time tracker,,4,,,0
174,Mikidown,,lnx,,http://shadowkyogre.github.io/mikidown/,note taking markdown,,1,,,0
175,Sushi browser,,uni,,https://sushib.me/,browser,,,,,0
176,ImPack,,lnx,,https://sourceforge.net/projects/jm-impack/,crypting to images,,,,,0
177,ffx2642Gen,,lnx,,https://sourceforge.net/projects/ffx264/,video files encode,,2,,,0
178,WPA2Gen,,lnx,,https://sourceforge.net/projects/wpa2gen/,password generator,,7,,,0
179,Ábsrú CM,,lnx,,https://www.asbru-cm.net/,connection manager,,,,,0
180,Nixstaller,,lnx,,http://nixstaller.sourceforge.net/news.php,installer creator,,,,,0
